Scenario,Weeks,Constituents,Total Return,Sharpe Ratio,Max Drawdown
1.0,1.0,5.0,558.8291706106025,4.30092452808434,-71.1341627122711
2.0,1.0,10.0,749.0564899781684,4.879568217735585,-57.82860704412729
3.0,1.0,20.0,1028.3026032332214,5.529856514910131,-53.52748200712152
4.0,1.0,30.0,1790.4071460396108,6.492767432641735,-53.213586185793915
5.0,2.0,5.0,586.3488253931698,4.3593798576923035,-68.26181252478392
6.0,2.0,10.0,670.9513902777858,4.731019072730544,-61.12774190303637
7.0,2.0,20.0,957.7042255684711,5.395484126156945,-56.10669322794022
8.0,2.0,30.0,1649.3309838280873,6.460214143330649,-53.32955364034541
9.0,4.0,5.0,705.0723414606049,4.3890745247382315,-62.25980432406293
10.0,4.0,10.0,983.8975919841184,5.230449253933501,-53.990474237126186
11.0,4.0,20.0,1831.0234867925856,6.348713183667088,-53.44884695505523
12.0,4.0,30.0,2627.021918629641,7.1061828988686155,-53.52880045291219
13.0,8.0,5.0,1348.7507676420125,5.828910189441759,-53.84154956354361
14.0,8.0,10.0,1870.520036431542,6.307587890401253,-53.70208359943574
15.0,8.0,20.0,1897.7771774776713,6.406653574405965,-53.60313506412159
16.0,8.0,30.0,2387.4947285223557,6.844310086012142,-53.479800610717874
17.0,12.0,5.0,919.4361609425197,5.058932743515326,-59.63107868193064
18.0,12.0,10.0,921.1350418110546,5.106293731509173,-57.166660650271204
19.0,12.0,20.0,1187.4993933232902,5.667665693151105,-53.7200217412604
20.0,12.0,30.0,1345.791351794912,5.911694387593938,-53.64251222485481
21.0,24.0,5.0,1123.5515468863975,5.452819479167432,-54.24952823293694
22.0,24.0,10.0,1619.9604847729358,5.961089965414004,-53.90694381912973
23.0,24.0,20.0,1675.6224884530536,6.203793450452712,-53.7200217412604
24.0,24.0,30.0,1817.3776961944732,6.369954764473697,-53.64251222485481
25.0,1.0,5.0,-74.04856204956043,-1.1216082536094063,-82.58042770950449
26.0,1.0,10.0,-72.54721399311269,-1.1212716578415456,-80.8539032544683
27.0,1.0,20.0,-77.23763898382667,-1.4740428853258614,-83.05005785509113
28.0,1.0,30.0,-61.93083493358043,-0.5911935950966313,-74.64330504944517
29.0,2.0,5.0,-73.6118301457277,-0.9764760935755472,-82.65742529004976
30.0,2.0,10.0,-74.73446050379292,-1.2336843072838253,-83.3612915641983
31.0,2.0,20.0,-76.70860624960325,-1.411910316756178,-83.13278133071502
32.0,2.0,30.0,-62.090417151833854,-0.5848225897797615,-75.16968026714046
33.0,4.0,5.0,-84.56206315862605,-1.8185729011315295,-87.68215620329588
34.0,4.0,10.0,-81.55550507441424,-1.7383232737006746,-86.23435150848564
35.0,4.0,20.0,-77.90100430982308,-1.5515218160312745,-83.08598760700961
36.0,4.0,30.0,-65.53679906615211,-0.7462045261285702,-75.22138266220529
37.0,8.0,5.0,-80.10916967451587,-1.4621298526836786,-86.7131606369654
38.0,8.0,10.0,-80.52400833270755,-1.68109464800795,-86.06186254578739
39.0,8.0,20.0,-78.2418666938087,-1.5264660564720114,-84.57449369207363
40.0,8.0,30.0,-66.1796294279882,-0.8042038880844896,-76.3836130160682
41.0,12.0,5.0,-79.80252342385994,-1.4436047090818682,-85.20255266430112
42.0,12.0,10.0,-77.55047752897812,-1.45094026463816,-85.24066144688231
43.0,12.0,20.0,-66.3159898317262,-0.7682327995252292,-78.56738654034157
44.0,12.0,30.0,-61.07128093778831,-0.5712940652820755,-75.0720575185525
45.0,24.0,5.0,-72.60108296112915,-1.03208331980839,-81.07202919895421
46.0,24.0,10.0,-76.23721563470303,-1.41028412222475,-82.91765384307084
47.0,24.0,20.0,-70.85658302561204,-1.0834863404443111,-78.5915967138898
48.0,24.0,30.0,-66.73315688144874,-0.8670133544972327,-76.2124599459373
49.0,1.0,5.0,-8.265511415588422,0.8872912351058834,-68.29303183514662
50.0,1.0,10.0,-20.308944064395885,0.5690954325816864,-67.08615685656049
51.0,1.0,20.0,-15.55727307281125,0.6564807219907037,-61.021473153181226
52.0,1.0,30.0,-7.700929580632154,0.8177661567694966,-57.017245376005235
53.0,2.0,5.0,-5.268635998437732,0.9367532416876441,-67.96527217824627
54.0,2.0,10.0,-20.049695654996636,0.5705413478788821,-66.68545181369021
55.0,2.0,20.0,-13.983606704831363,0.6908803021721562,-60.55670921329146
56.0,2.0,30.0,-7.745459309704006,0.8101139631081855,-56.385520143439095
57.0,4.0,5.0,-10.187286762853576,0.8461514347090614,-70.324890631322
58.0,4.0,10.0,-21.29810823502314,0.5493485607912034,-66.87088939564157
59.0,4.0,20.0,-23.539790439334794,0.4397509725354304,-62.016380642887256
60.0,4.0,30.0,-11.217354756400976,0.7349544636274498,-57.25799255172146
61.0,8.0,5.0,-16.32798598363362,0.7533258159724442,-70.05031234690809
62.0,8.0,10.0,-29.14771036438171,0.3608587954257399,-66.79994907309538
63.0,8.0,20.0,-28.825719931579698,0.3051055839342545,-63.044153439835625
64.0,8.0,30.0,-7.1011329501553755,0.8305081615914702,-57.45709386061942
65.0,12.0,5.0,-5.373329106292646,0.9454014952729174,-67.78924362634609
66.0,12.0,10.0,-25.267077289924188,0.4392972618060732,-67.73452439369609
67.0,12.0,20.0,-22.762418628185188,0.47558797560915805,-62.033301613941724
68.0,12.0,30.0,-4.61183638345749,0.8845631335857401,-57.911611440293754
69.0,24.0,5.0,15.695513654744397,1.3212170746630432,-62.192962800184915
70.0,24.0,10.0,-4.871709796414092,0.9073588661153985,-62.279609006504224
71.0,24.0,20.0,-8.630777363313713,0.8000687260033373,-58.95182254323576
72.0,24.0,30.0,-4.219831382675954,0.8940989448249602,-56.29672933541177
