Weeks,Constituents,Total Return,Mean Return,Median Return,Standard Deviation,Sharpe Ratio,Sortino Ratio,Max Drawdown
8.0,30.0,556.6462782457585,1.990730282379598,1.5381349374560926,14.022148042853985,1.8341631882518894,2.8278977944949886,-84.10842644900545
1.0,30.0,536.2820353583661,1.955271936012181,1.719894212024431,13.832830848333721,1.8185738145646917,2.7649706467133943,-83.03651971580861
2.0,30.0,510.7745223773765,1.9287709189098872,1.6961948325879828,13.79493216826035,1.7930739387422505,2.721761210221749,-83.03438335305799
4.0,30.0,506.04326339487454,1.9497715025502917,1.7140673939274542,14.021556820619594,1.7878690368360493,2.7425814308178413,-83.8072551035003
1.0,20.0,464.7916080910461,1.8994089092242945,1.3731589054717164,13.888305025616676,1.7474577249803933,2.654676273521397,-82.63300678259856
2.0,20.0,447.6337942460792,1.8830802833326479,1.3731589054717164,13.890927139259409,1.728467564693721,2.624858064083956,-82.58862373383126
4.0,20.0,429.09774986227774,1.887588251222079,1.3316939858523114,14.113894725528045,1.7062319964665085,2.6241073530056447,-83.30100211002112
24.0,30.0,393.59488672939733,1.8241674634134182,1.4406950262584983,13.910812556641197,1.6587675871945051,2.536742516850435,-84.18836326882388
8.0,20.0,381.72328535918706,1.8314622907878788,1.3316939858522892,14.071918011964907,1.6480061037391152,2.5319990551885736,-83.71756494554702
12.0,30.0,321.86688153381135,1.738335915770219,1.410450786237294,13.862309717976784,1.5662809332626488,2.3684891326433077,-83.52797833356847
1.0,10.0,310.9402262658362,1.7552447633676322,1.4244662236897465,14.13355485004173,1.5552131979294903,2.392069098320274,-84.98955311762383
2.0,10.0,306.82312429147026,1.7441675565259236,1.2364079342876089,14.10060377318134,1.5463767495382506,2.3790820193133837,-84.75667175046962
24.0,20.0,281.3193358700003,1.6939133986774029,1.3771667010855637,13.952552943995613,1.5056087505659084,2.294535698470696,-85.78421225646076
12.0,20.0,271.68668539307527,1.6792964590558874,1.3436680302586268,13.953488729555225,1.488878479416085,2.262823763363549,-83.155909832931
8.0,10.0,267.2017756141286,1.7105321545411656,1.1690819108385098,14.26985280677756,1.4906180648058291,2.3026715147381047,-87.08833859939217
4.0,10.0,249.25046194280628,1.6974803762014656,1.3306170315781518,14.401019080038422,1.4626541150254968,2.266364240309725,-85.4823692556012
24.0,10.0,214.92797236080406,1.635395283732552,1.0892313483474414,14.323632337599937,1.401749155239767,2.163254372204731,-88.05643255825382
12.0,10.0,94.28873268268345,1.380180243635467,1.2000642265533878,14.275736831125707,1.1226549324312778,1.6960638047519825,-87.79275780566613
